Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
65,420,210.0,0.5,16.8,1754.0,0.5,0.5,60,64.28
88,380,171.0,0.45,15.2,1833.0,0.6,0.4,25,43.58
128,380,171.0,0.45,15.2,1833.0,0.6,0.4,60,56.66
43,360,216.0,0.6,14.4,1808.0,0.5,0.5,60,52.4
213,390,195.0,0.5,15.6,1799.0,0.7,0.3,60,43.03
69,430,215.0,0.5,17.2,1739.0,0.5,0.5,60,63.47
106,420,231.0,0.55,16.8,1733.0,0.6,0.4,25,44.67
1,360,180.0,0.5,14.4,1844.0,0.5,0.5,25,59.79
214,390,214.5,0.55,15.6,1779.5,0.7,0.3,60,32.58
116,450,202.5,0.45,18.0,1731.5,0.6,0.4,25,45.88
105,420,210.0,0.5,16.8,1754.0,0.6,0.4,25,51.22
235,440,264.0,0.6,17.6,1680.0,0.7,0.3,60,28.65
58,400,220.0,0.55,16.0,1764.0,0.5,0.5,60,51.54
145,420,210.0,0.5,16.8,1754.0,0.6,0.4,60,62.29
215,390,234.0,0.6,15.6,1760.0,0.7,0.3,60,27.73
226,420,231.0,0.55,16.8,1733.0,0.7,0.3,60,31.24
153,440,220.0,0.5,17.6,1724.0,0.6,0.4,60,61.61
53,390,195.0,0.5,15.6,1799.0,0.5,0.5,60,64.76
61,410,205.0,0.5,16.4,1769.0,0.5,0.5,60,64.43
