,Uniqueness,Novelty,Validity,Synthesizability,Similarity,Diversity
minGPT Low,1.0,0.96,0.77,0.684931506849315,0.2630928836690998,0.7391307304611898
minGPT High,0.96,0.61,0.95,0.9454545454545454,0.2601199244535792,0.694069964937174
GPT-4o Low,0.9864864864864865,1.0,0.013513513513513514,1.0,0.16446945225890694,
GPT-4o High,1.0,1.0,0.21428571428571427,0.47619047619047616,0.20025531908807878,0.7899444734316498
LLaMA Low,1.0,1.0,0.03,0.3333333333333333,0.1494739722506058,0.772149259954138
LLaMA High,1.0,1.0,0.5825242718446602,0.45,0.21177067648047032,0.74292459553832
LLaMA Low tuned,0.97,0.48,0.99,0.7872340425531915,0.26498390887954903,0.7316075435982229
LLaMA High tuned,0.99,0.45999999999999996,0.95,0.9024390243902439,0.26529085654135076,0.7340494883397236
